"time","position"
0.000,0.54
0.020,0.54
0.040,0.54
0.060,0.54
0.080,0.54
0.100,0.54
0.120,0.54
0.140,0.54
0.160,0.54
0.180,0.54
0.200,0.54
0.220,0.54
0.240,0.54
0.260,0.54
0.280,0.54
0.300,0.54
0.320,0.54
0.340,0.54
0.360,0.54
0.380,0.54
0.400,0.54
0.420,0.54
0.440,0.54
0.460,0.54
0.480,0.54
0.500,0.54
0.520,0.54
0.540,0.54
0.560,0.54
0.580,0.54
0.600,0.54
0.620,0.54
0.640,0.54
0.660,0.54
0.680,0.54
0.700,0.54
0.720,0.54
0.740,0.54
0.760,0.54
0.780,0.54
0.800,0.54
0.820,0.54
0.840,0.54
0.860,0.54
0.880,0.54
0.900,0.54
0.920,0.54
0.940,0.54
0.960,0.54
0.980,0.54
1.000,0.54
1.020,0.54
1.040,0.54
1.060,0.54
1.080,0.54
1.100,0.54
1.120,0.54
1.140,0.54
1.160,0.54
1.180,0.54
1.200,0.54
1.220,0.54
1.240,0.54
1.260,0.54
1.280,0.54
1.300,0.54
1.320,0.55
1.340,0.55
1.360,0.55
1.380,0.56
1.400,0.56
1.420,0.56
1.440,0.57
1.460,0.57
1.480,0.58
1.500,0.58
1.520,0.59
1.540,0.59
1.560,0.59
1.580,0.59
1.600,0.60
1.620,0.60
1.640,0.60
1.660,0.60
1.680,0.60
1.700,0.60
1.720,0.59
1.740,0.59
1.760,0.59
1.780,0.58
1.800,0.58
1.820,0.57
1.840,0.57
1.860,0.56
1.880,0.56
1.900,0.55
1.920,0.55
1.940,0.55
1.960,0.54
1.980,0.54
2.000,0.54
2.020,0.54
2.040,0.54
2.060,0.54
2.080,0.55
2.100,0.55
2.120,0.56
2.140,0.56
2.160,0.57
2.180,0.57
2.200,0.58
2.220,0.58
2.240,0.59
2.260,0.59
2.280,0.59
2.300,0.60
2.320,0.60
2.340,0.60
2.360,0.60
2.380,0.60
2.400,0.60
2.420,0.60
2.440,0.59
2.460,0.59
2.480,0.59
2.500,0.58
2.520,0.58
2.540,0.57
2.560,0.57
2.580,0.56
2.600,0.56
2.620,0.56
2.640,0.55
2.660,0.55
2.680,0.55
2.700,0.55
2.720,0.54
2.740,0.54
2.760,0.54
2.780,0.55
2.800,0.55
2.820,0.55
2.840,0.55
2.860,0.56
2.880,0.56
2.900,0.57
2.920,0.57
2.940,0.58
2.960,0.58
2.980,0.59
3.000,0.59
3.020,0.60
3.040,0.60
3.060,0.60
3.080,0.60
3.100,0.60
3.120,0.60
3.140,0.60
3.160,0.59
3.180,0.59
3.200,0.59
3.220,0.58
3.240,0.58
3.260,0.57
3.280,0.57
3.300,0.56
3.320,0.56
3.340,0.56
3.360,0.55
3.380,0.55
3.400,0.55
3.420,0.55
3.440,0.54
3.460,0.55
3.480,0.55
3.500,0.55
3.520,0.55
3.540,0.55
3.560,0.55
3.580,0.56
3.600,0.56
3.620,0.57
3.640,0.57
3.660,0.58
3.680,0.58
3.700,0.58
3.720,0.59
3.740,0.59
3.760,0.59
3.780,0.60
3.800,0.60
3.820,0.60
3.840,0.60
3.860,0.60
3.880,0.60
3.900,0.59
3.920,0.59
3.940,0.59
3.960,0.58
3.980,0.58
4.000,0.57
4.020,0.57
4.040,0.56
4.060,0.56
4.080,0.55
4.100,0.55
4.120,0.55
4.140,0.54
4.160,0.54
4.180,0.54
4.200,0.54
4.220,0.55
4.240,0.55
4.260,0.55
4.280,0.55
4.300,0.56
4.320,0.56
4.340,0.57
4.360,0.57
4.380,0.58
4.400,0.58
4.420,0.58
4.440,0.59
4.460,0.59
4.480,0.59
4.500,0.60
4.520,0.60
4.540,0.60
4.560,0.60
4.580,0.60
4.600,0.60
4.620,0.59
4.640,0.59
4.660,0.59
4.680,0.58
4.700,0.58
4.720,0.57
4.740,0.57
4.760,0.57
4.780,0.56
4.800,0.56
4.820,0.55
4.840,0.55
4.860,0.55
4.880,0.54
4.900,0.54
4.920,0.54
4.940,0.54
4.960,0.55
4.980,0.55
5.000,0.55
5.020,0.56
5.040,0.56
5.060,0.56
5.080,0.57
5.100,0.57
5.120,0.58
5.140,0.58
5.160,0.59
5.180,0.59
5.200,0.59
